Gene,Protein,Feature
RPS4Y1,Ribosomal protein S4 Y-linked 1,ENSG00000129824
PRKAG2 ,PRKAG2 antisense RNA 1,ENSG00000106617
PRKAG2-AS1,PRKAG2 antisense RNA 1,ENSG00000239911
KDM5D,Lysine demethylase 5D,ENSG00000012817
CYP7A1,Cytochrome P450 family 7 subfamily A member 1,ENSG00000167910
ADIPOQ,"Adiponectin, C1Q and collagen domain containing",ENSG00000181092
SELE,Selectin E,ENSG00000007908
CEL,Carboxyl ester lipase,ENSG00000170835
OSR1,Odd-skipped related transcription factor 1,ENSG00000143867
DTHD1,Death domain containing 1,ENSG00000197057
,,
